group	files	condition
slm-2024-07-05-20-49-58	['assets/data/raw/slm-2024-07-05-20-49-58-image-2.png', 'assets/data/raw/slm-2024-07-05-20-49-58-image-0.png', 'assets/data/raw/slm-2024-07-05-20-49-58-image-1.png']	0
nob-2024-07-10-18-56-53	['assets/data/raw/nob-2024-07-10-18-56-53-image-2.png', 'assets/data/raw/nob-2024-07-10-18-56-53-image-0.png', 'assets/data/raw/nob-2024-07-10-18-56-53-image-1.png']	0
sob-2024-07-07-13-26-57	['assets/data/raw/sob-2024-07-07-13-26-57-image-2.png', 'assets/data/raw/sob-2024-07-07-13-26-57-image-0.png', 'assets/data/raw/sob-2024-07-07-13-26-57-image-1.png']	0
sob-2024-07-09-15-36-31	['assets/data/raw/sob-2024-07-09-15-36-31-image-1.png', 'assets/data/raw/sob-2024-07-09-15-36-31-image-0.png', 'assets/data/raw/sob-2024-07-09-15-36-31-image-2.png']	0
sob-2024-07-07-10-46-00	['assets/data/raw/sob-2024-07-07-10-46-00-image-2.png', 'assets/data/raw/sob-2024-07-07-10-46-00-image-1.png', 'assets/data/raw/sob-2024-07-07-10-46-00-image-0.png']	0
sob-2024-07-05-19-56-47	['assets/data/raw/sob-2024-07-05-19-56-47-image-2.png', 'assets/data/raw/sob-2024-07-05-19-56-47-image-1.png', 'assets/data/raw/sob-2024-07-05-19-56-47-image-0.png']	0
nlm-2024-07-09-13-08-21	['assets/data/raw/nlm-2024-07-09-13-08-21-image-0.png', 'assets/data/raw/nlm-2024-07-09-13-08-21-image-1.png', 'assets/data/raw/nlm-2024-07-09-13-08-21-image-2.png']	0
nob-2024-07-05-19-29-05	['assets/data/raw/nob-2024-07-05-19-29-05-image-0.png', 'assets/data/raw/nob-2024-07-05-19-29-05-image-1.png', 'assets/data/raw/nob-2024-07-05-19-29-05-image-2.png']	0
slm-2024-07-05-19-44-02	['assets/data/raw/slm-2024-07-05-19-44-02-image-2.png', 'assets/data/raw/slm-2024-07-05-19-44-02-image-1.png', 'assets/data/raw/slm-2024-07-05-19-44-02-image-0.png']	0
nlm-2024-07-05-20-49-58	['assets/data/raw/nlm-2024-07-05-20-49-58-image-0.png', 'assets/data/raw/nlm-2024-07-05-20-49-58-image-1.png', 'assets/data/raw/nlm-2024-07-05-20-49-58-image-2.png']	0
nlm-2024-07-09-09-52-14	['assets/data/raw/nlm-2024-07-09-09-52-14-image-1.png', 'assets/data/raw/nlm-2024-07-09-09-52-14-image-0.png', 'assets/data/raw/nlm-2024-07-09-09-52-14-image-2.png']	0
sob-2024-07-10-11-27-41	['assets/data/raw/sob-2024-07-10-11-27-41-image-2.png', 'assets/data/raw/sob-2024-07-10-11-27-41-image-1.png', 'assets/data/raw/sob-2024-07-10-11-27-41-image-0.png']	0
sob-2024-07-10-18-56-53	['assets/data/raw/sob-2024-07-10-18-56-53-image-0.png', 'assets/data/raw/sob-2024-07-10-18-56-53-image-1.png', 'assets/data/raw/sob-2024-07-10-18-56-53-image-2.png']	0
nob-2024-07-06-10-57-19	['assets/data/raw/nob-2024-07-06-10-57-19-image-2.png', 'assets/data/raw/nob-2024-07-06-10-57-19-image-1.png', 'assets/data/raw/nob-2024-07-06-10-57-19-image-0.png']	0
nob-2024-07-07-13-26-57	['assets/data/raw/nob-2024-07-07-13-26-57-image-0.png', 'assets/data/raw/nob-2024-07-07-13-26-57-image-1.png', 'assets/data/raw/nob-2024-07-07-13-26-57-image-2.png']	0
sob-2024-07-06-11-39-21	['assets/data/raw/sob-2024-07-06-11-39-21-image-2.png', 'assets/data/raw/sob-2024-07-06-11-39-21-image-0.png', 'assets/data/raw/sob-2024-07-06-11-39-21-image-1.png']	0
nlm-2024-07-07-13-26-57	['assets/data/raw/nlm-2024-07-07-13-26-57-image-1.png', 'assets/data/raw/nlm-2024-07-07-13-26-57-image-0.png', 'assets/data/raw/nlm-2024-07-07-13-26-57-image-2.png']	0
slm-2024-07-10-18-56-53	['assets/data/raw/slm-2024-07-10-18-56-53-image-1.png', 'assets/data/raw/slm-2024-07-10-18-56-53-image-0.png', 'assets/data/raw/slm-2024-07-10-18-56-53-image-2.png']	1
slm-2024-07-06-11-39-21	['assets/data/raw/slm-2024-07-06-11-39-21-image-2.png', 'assets/data/raw/slm-2024-07-06-11-39-21-image-1.png', 'assets/data/raw/slm-2024-07-06-11-39-21-image-0.png']	0
nob-2024-07-09-09-52-14	['assets/data/raw/nob-2024-07-09-09-52-14-image-0.png', 'assets/data/raw/nob-2024-07-09-09-52-14-image-1.png', 'assets/data/raw/nob-2024-07-09-09-52-14-image-2.png']	0
nob-2024-07-05-20-49-58	['assets/data/raw/nob-2024-07-05-20-49-58-image-1.png', 'assets/data/raw/nob-2024-07-05-20-49-58-image-0.png', 'assets/data/raw/nob-2024-07-05-20-49-58-image-2.png']	0
nob-2024-07-09-13-08-21	['assets/data/raw/nob-2024-07-09-13-08-21-image-1.png', 'assets/data/raw/nob-2024-07-09-13-08-21-image-0.png', 'assets/data/raw/nob-2024-07-09-13-08-21-image-2.png']	0
nlm-2024-07-05-19-29-05	['assets/data/raw/nlm-2024-07-05-19-29-05-image-1.png', 'assets/data/raw/nlm-2024-07-05-19-29-05-image-0.png', 'assets/data/raw/nlm-2024-07-05-19-29-05-image-2.png']	0
slm-2024-07-09-15-36-31	['assets/data/raw/slm-2024-07-09-15-36-31-image-0.png', 'assets/data/raw/slm-2024-07-09-15-36-31-image-1.png', 'assets/data/raw/slm-2024-07-09-15-36-31-image-2.png']	0
slm-2024-07-07-10-46-00	['assets/data/raw/slm-2024-07-07-10-46-00-image-2.png', 'assets/data/raw/slm-2024-07-07-10-46-00-image-0.png', 'assets/data/raw/slm-2024-07-07-10-46-00-image-1.png']	0
slm-2024-07-05-19-56-47	['assets/data/raw/slm-2024-07-05-19-56-47-image-2.png', 'assets/data/raw/slm-2024-07-05-19-56-47-image-0.png', 'assets/data/raw/slm-2024-07-05-19-56-47-image-1.png']	0
sob-2024-07-05-19-44-02	['assets/data/raw/sob-2024-07-05-19-44-02-image-2.png', 'assets/data/raw/sob-2024-07-05-19-44-02-image-0.png', 'assets/data/raw/sob-2024-07-05-19-44-02-image-1.png']	0
slm-2024-07-10-11-27-41	['assets/data/raw/slm-2024-07-10-11-27-41-image-2.png', 'assets/data/raw/slm-2024-07-10-11-27-41-image-0.png', 'assets/data/raw/slm-2024-07-10-11-27-41-image-1.png']	0
nlm-2024-07-06-10-57-19	['assets/data/raw/nlm-2024-07-06-10-57-19-image-2.png', 'assets/data/raw/nlm-2024-07-06-10-57-19-image-0.png', 'assets/data/raw/nlm-2024-07-06-10-57-19-image-1.png']	0
nlm-2024-07-07-10-46-00	['assets/data/raw/nlm-2024-07-07-10-46-00-image-0.png', 'assets/data/raw/nlm-2024-07-07-10-46-00-image-1.png', 'assets/data/raw/nlm-2024-07-07-10-46-00-image-2.png']	0
nlm-2024-07-05-19-56-47	['assets/data/raw/nlm-2024-07-05-19-56-47-image-0.png', 'assets/data/raw/nlm-2024-07-05-19-56-47-image-1.png', 'assets/data/raw/nlm-2024-07-05-19-56-47-image-2.png']	0
sob-2024-07-09-13-08-21	['assets/data/raw/sob-2024-07-09-13-08-21-image-2.png', 'assets/data/raw/sob-2024-07-09-13-08-21-image-1.png', 'assets/data/raw/sob-2024-07-09-13-08-21-image-0.png']	0
slm-2024-07-05-19-29-05	['assets/data/raw/slm-2024-07-05-19-29-05-image-2.png', 'assets/data/raw/slm-2024-07-05-19-29-05-image-1.png', 'assets/data/raw/slm-2024-07-05-19-29-05-image-0.png']	0
nob-2024-07-05-19-44-02	['assets/data/raw/nob-2024-07-05-19-44-02-image-0.png', 'assets/data/raw/nob-2024-07-05-19-44-02-image-1.png', 'assets/data/raw/nob-2024-07-05-19-44-02-image-2.png']	0
sob-2024-07-05-20-49-58	['assets/data/raw/sob-2024-07-05-20-49-58-image-2.png', 'assets/data/raw/sob-2024-07-05-20-49-58-image-1.png', 'assets/data/raw/sob-2024-07-05-20-49-58-image-0.png']	0
nlm-2024-07-10-11-27-41	['assets/data/raw/nlm-2024-07-10-11-27-41-image-0.png', 'assets/data/raw/nlm-2024-07-10-11-27-41-image-1.png', 'assets/data/raw/nlm-2024-07-10-11-27-41-image-2.png']	0
nlm-2024-07-10-18-56-53	['assets/data/raw/nlm-2024-07-10-18-56-53-image-2.png', 'assets/data/raw/nlm-2024-07-10-18-56-53-image-1.png', 'assets/data/raw/nlm-2024-07-10-18-56-53-image-0.png']	0
nlm-2024-07-06-11-39-21	['assets/data/raw/nlm-2024-07-06-11-39-21-image-1.png', 'assets/data/raw/nlm-2024-07-06-11-39-21-image-0.png', 'assets/data/raw/nlm-2024-07-06-11-39-21-image-2.png']	0
slm-2024-07-06-10-57-19	['assets/data/raw/slm-2024-07-06-10-57-19-image-0.png', 'assets/data/raw/slm-2024-07-06-10-57-19-image-1.png', 'assets/data/raw/slm-2024-07-06-10-57-19-image-2.png']	0
slm-2024-07-07-13-26-57	['assets/data/raw/slm-2024-07-07-13-26-57-image-2.png', 'assets/data/raw/slm-2024-07-07-13-26-57-image-1.png', 'assets/data/raw/slm-2024-07-07-13-26-57-image-0.png']	0
sob-2024-07-09-09-52-14	['assets/data/raw/sob-2024-07-09-09-52-14-image-2.png', 'assets/data/raw/sob-2024-07-09-09-52-14-image-0.png', 'assets/data/raw/sob-2024-07-09-09-52-14-image-1.png']	0
nlm-2024-07-09-15-36-31	['assets/data/raw/nlm-2024-07-09-15-36-31-image-2.png', 'assets/data/raw/nlm-2024-07-09-15-36-31-image-0.png', 'assets/data/raw/nlm-2024-07-09-15-36-31-image-1.png']	0
slm-2024-07-05-19-19-45	['assets/data/raw/slm-2024-07-05-19-19-45-image-2.png', 'assets/data/raw/slm-2024-07-05-19-19-45-image-1.png', 'assets/data/raw/slm-2024-07-05-19-19-45-image-0.png']	0
nlm-2024-07-05-19-22-52	['assets/data/raw/nlm-2024-07-05-19-22-52-image-2.png', 'assets/data/raw/nlm-2024-07-05-19-22-52-image-1.png', 'assets/data/raw/nlm-2024-07-05-19-22-52-image-0.png']	0
nob-2024-07-07-09-53-53	['assets/data/raw/nob-2024-07-07-09-53-53-image-1.png', 'assets/data/raw/nob-2024-07-07-09-53-53-image-0.png', 'assets/data/raw/nob-2024-07-07-09-53-53-image-2.png']	0
slm-2024-07-05-19-34-28	['assets/data/raw/slm-2024-07-05-19-34-28-image-1.png', 'assets/data/raw/slm-2024-07-05-19-34-28-image-0.png', 'assets/data/raw/slm-2024-07-05-19-34-28-image-2.png']	0
sob-2024-07-08-10-43-39	['assets/data/raw/sob-2024-07-08-10-43-39-image-2.png', 'assets/data/raw/sob-2024-07-08-10-43-39-image-1.png', 'assets/data/raw/sob-2024-07-08-10-43-39-image-0.png']	0
slm-2024-07-09-16-35-42	['assets/data/raw/slm-2024-07-09-16-35-42-image-2.png', 'assets/data/raw/slm-2024-07-09-16-35-42-image-0.png', 'assets/data/raw/slm-2024-07-09-16-35-42-image-1.png']	0
sob-2024-07-06-18-40-00	['assets/data/raw/sob-2024-07-06-18-40-00-image-2.png', 'assets/data/raw/sob-2024-07-06-18-40-00-image-0.png', 'assets/data/raw/sob-2024-07-06-18-40-00-image-1.png']	0
nob-2024-07-08-10-43-39	['assets/data/raw/nob-2024-07-08-10-43-39-image-1.png', 'assets/data/raw/nob-2024-07-08-10-43-39-image-0.png', 'assets/data/raw/nob-2024-07-08-10-43-39-image-2.png']	0
nlm-2024-07-05-19-34-28	['assets/data/raw/nlm-2024-07-05-19-34-28-image-2.png', 'assets/data/raw/nlm-2024-07-05-19-34-28-image-1.png', 'assets/data/raw/nlm-2024-07-05-19-34-28-image-0.png']	0
nlm-2024-07-09-16-35-42	['assets/data/raw/nlm-2024-07-09-16-35-42-image-0.png', 'assets/data/raw/nlm-2024-07-09-16-35-42-image-1.png', 'assets/data/raw/nlm-2024-07-09-16-35-42-image-2.png']	0
nob-2024-07-06-18-40-00	['assets/data/raw/nob-2024-07-06-18-40-00-image-0.png', 'assets/data/raw/nob-2024-07-06-18-40-00-image-1.png', 'assets/data/raw/nob-2024-07-06-18-40-00-image-2.png']	0
slm-2024-07-05-19-22-52	['assets/data/raw/slm-2024-07-05-19-22-52-image-1.png', 'assets/data/raw/slm-2024-07-05-19-22-52-image-0.png', 'assets/data/raw/slm-2024-07-05-19-22-52-image-2.png']	0
sob-2024-07-07-09-53-53	['assets/data/raw/sob-2024-07-07-09-53-53-image-2.png', 'assets/data/raw/sob-2024-07-07-09-53-53-image-1.png', 'assets/data/raw/sob-2024-07-07-09-53-53-image-0.png']	0
nlm-2024-07-05-19-19-45	['assets/data/raw/nlm-2024-07-05-19-19-45-image-1.png', 'assets/data/raw/nlm-2024-07-05-19-19-45-image-0.png', 'assets/data/raw/nlm-2024-07-05-19-19-45-image-2.png']	0
sob-2024-07-11-01-22-25	['assets/data/raw/sob-2024-07-11-01-22-25-image-0.png', 'assets/data/raw/sob-2024-07-11-01-22-25-image-1.png', 'assets/data/raw/sob-2024-07-11-01-22-25-image-2.png']	0
nob-2024-07-11-01-22-25	['assets/data/raw/nob-2024-07-11-01-22-25-image-2.png', 'assets/data/raw/nob-2024-07-11-01-22-25-image-0.png', 'assets/data/raw/nob-2024-07-11-01-22-25-image-1.png']	0
nlm-2024-07-11-01-22-25	['assets/data/raw/nlm-2024-07-11-01-22-25-image-2.png', 'assets/data/raw/nlm-2024-07-11-01-22-25-image-1.png', 'assets/data/raw/nlm-2024-07-11-01-22-25-image-0.png']	0
slm-2024-07-11-01-22-25	['assets/data/raw/slm-2024-07-11-01-22-25-image-1.png', 'assets/data/raw/slm-2024-07-11-01-22-25-image-0.png', 'assets/data/raw/slm-2024-07-11-01-22-25-image-2.png']	0
nob-2024-07-12-12-28-20	['assets/data/raw/nob-2024-07-12-12-28-20-image-1.png', 'assets/data/raw/nob-2024-07-12-12-28-20-image-0.png', 'assets/data/raw/nob-2024-07-12-12-28-20-image-2.png']	1
sob-2024-07-11-16-23-51	['assets/data/raw/sob-2024-07-11-16-23-51-image-1.png', 'assets/data/raw/sob-2024-07-11-16-23-51-image-0.png', 'assets/data/raw/sob-2024-07-11-16-23-51-image-2.png']	1
nlm-2024-07-12-11-21-28	['assets/data/raw/nlm-2024-07-12-11-21-28-image-2.png', 'assets/data/raw/nlm-2024-07-12-11-21-28-image-1.png', 'assets/data/raw/nlm-2024-07-12-11-21-28-image-0.png']	1
nlm-2024-07-12-13-31-48	['assets/data/raw/nlm-2024-07-12-13-31-48-image-2.png', 'assets/data/raw/nlm-2024-07-12-13-31-48-image-0.png', 'assets/data/raw/nlm-2024-07-12-13-31-48-image-1.png']	1
nlm-2024-07-11-11-51-18	['assets/data/raw/nlm-2024-07-11-11-51-18-image-2.png', 'assets/data/raw/nlm-2024-07-11-11-51-18-image-0.png', 'assets/data/raw/nlm-2024-07-11-11-51-18-image-1.png']	0
slm-2024-07-12-11-21-28	['assets/data/raw/slm-2024-07-12-11-21-28-image-1.png', 'assets/data/raw/slm-2024-07-12-11-21-28-image-0.png', 'assets/data/raw/slm-2024-07-12-11-21-28-image-2.png']	0
nob-2024-07-11-16-23-51	['assets/data/raw/nob-2024-07-11-16-23-51-image-2.png', 'assets/data/raw/nob-2024-07-11-16-23-51-image-1.png', 'assets/data/raw/nob-2024-07-11-16-23-51-image-0.png']	0
slm-2024-07-12-13-31-48	['assets/data/raw/slm-2024-07-12-13-31-48-image-0.png', 'assets/data/raw/slm-2024-07-12-13-31-48-image-1.png', 'assets/data/raw/slm-2024-07-12-13-31-48-image-2.png']	1
sob-2024-07-12-12-28-20	['assets/data/raw/sob-2024-07-12-12-28-20-image-2.png', 'assets/data/raw/sob-2024-07-12-12-28-20-image-1.png', 'assets/data/raw/sob-2024-07-12-12-28-20-image-0.png']	0
slm-2024-07-11-11-51-18	['assets/data/raw/slm-2024-07-11-11-51-18-image-0.png', 'assets/data/raw/slm-2024-07-11-11-51-18-image-1.png', 'assets/data/raw/slm-2024-07-11-11-51-18-image-2.png']	0
sob-2024-07-11-16-15-04	['assets/data/raw/sob-2024-07-11-16-15-04-image-2.png', 'assets/data/raw/sob-2024-07-11-16-15-04-image-1.png', 'assets/data/raw/sob-2024-07-11-16-15-04-image-0.png']	0
sob-2024-07-11-11-30-31	['assets/data/raw/sob-2024-07-11-11-30-31-image-2.png', 'assets/data/raw/sob-2024-07-11-11-30-31-image-1.png', 'assets/data/raw/sob-2024-07-11-11-30-31-image-0.png']	0
nob-2024-07-11-10-20-57	['assets/data/raw/nob-2024-07-11-10-20-57-image-1.png', 'assets/data/raw/nob-2024-07-11-10-20-57-image-0.png', 'assets/data/raw/nob-2024-07-11-10-20-57-image-2.png']	0
nlm-2024-07-12-10-06-35	['assets/data/raw/nlm-2024-07-12-10-06-35-image-2.png', 'assets/data/raw/nlm-2024-07-12-10-06-35-image-0.png', 'assets/data/raw/nlm-2024-07-12-10-06-35-image-1.png']	0
nob-2024-07-11-11-30-58	['assets/data/raw/nob-2024-07-11-11-30-58-image-2.png', 'assets/data/raw/nob-2024-07-11-11-30-58-image-0.png', 'assets/data/raw/nob-2024-07-11-11-30-58-image-1.png']	1
nob-2024-07-11-11-30-31	['assets/data/raw/nob-2024-07-11-11-30-31-image-1.png', 'assets/data/raw/nob-2024-07-11-11-30-31-image-0.png', 'assets/data/raw/nob-2024-07-11-11-30-31-image-2.png']	0
sob-2024-07-11-10-20-57	['assets/data/raw/sob-2024-07-11-10-20-57-image-2.png', 'assets/data/raw/sob-2024-07-11-10-20-57-image-1.png', 'assets/data/raw/sob-2024-07-11-10-20-57-image-0.png']	0
slm-2024-07-12-10-06-35	['assets/data/raw/slm-2024-07-12-10-06-35-image-0.png', 'assets/data/raw/slm-2024-07-12-10-06-35-image-1.png', 'assets/data/raw/slm-2024-07-12-10-06-35-image-2.png']	0
sob-2024-07-11-11-30-58	['assets/data/raw/sob-2024-07-11-11-30-58-image-0.png', 'assets/data/raw/sob-2024-07-11-11-30-58-image-1.png', 'assets/data/raw/sob-2024-07-11-11-30-58-image-2.png']	0
nob-2024-07-11-16-15-04	['assets/data/raw/nob-2024-07-11-16-15-04-image-1.png', 'assets/data/raw/nob-2024-07-11-16-15-04-image-0.png', 'assets/data/raw/nob-2024-07-11-16-15-04-image-2.png']	0
nlm-2024-07-11-16-15-04	['assets/data/raw/nlm-2024-07-11-16-15-04-image-0.png', 'assets/data/raw/nlm-2024-07-11-16-15-04-image-1.png', 'assets/data/raw/nlm-2024-07-11-16-15-04-image-2.png']	0
slm-2024-07-11-11-30-58	['assets/data/raw/slm-2024-07-11-11-30-58-image-1.png', 'assets/data/raw/slm-2024-07-11-11-30-58-image-0.png', 'assets/data/raw/slm-2024-07-11-11-30-58-image-2.png']	0
sob-2024-07-12-10-06-35	['assets/data/raw/sob-2024-07-12-10-06-35-image-1.png', 'assets/data/raw/sob-2024-07-12-10-06-35-image-0.png', 'assets/data/raw/sob-2024-07-12-10-06-35-image-2.png']	0
nlm-2024-07-11-11-30-31	['assets/data/raw/nlm-2024-07-11-11-30-31-image-0.png', 'assets/data/raw/nlm-2024-07-11-11-30-31-image-1.png', 'assets/data/raw/nlm-2024-07-11-11-30-31-image-2.png']	0
slm-2024-07-11-10-20-57	['assets/data/raw/slm-2024-07-11-10-20-57-image-2.png', 'assets/data/raw/slm-2024-07-11-10-20-57-image-0.png', 'assets/data/raw/slm-2024-07-11-10-20-57-image-1.png']	0
nlm-2024-07-11-10-20-57	['assets/data/raw/nlm-2024-07-11-10-20-57-image-0.png', 'assets/data/raw/nlm-2024-07-11-10-20-57-image-1.png', 'assets/data/raw/nlm-2024-07-11-10-20-57-image-2.png']	0
nob-2024-07-12-10-06-35	['assets/data/raw/nob-2024-07-12-10-06-35-image-2.png', 'assets/data/raw/nob-2024-07-12-10-06-35-image-1.png', 'assets/data/raw/nob-2024-07-12-10-06-35-image-0.png']	0
nlm-2024-07-11-11-30-58	['assets/data/raw/nlm-2024-07-11-11-30-58-image-2.png', 'assets/data/raw/nlm-2024-07-11-11-30-58-image-1.png', 'assets/data/raw/nlm-2024-07-11-11-30-58-image-0.png']	0
slm-2024-07-11-16-15-04	['assets/data/raw/slm-2024-07-11-16-15-04-image-2.png', 'assets/data/raw/slm-2024-07-11-16-15-04-image-0.png', 'assets/data/raw/slm-2024-07-11-16-15-04-image-1.png']	1
slm-2024-07-11-11-30-31	['assets/data/raw/slm-2024-07-11-11-30-31-image-2.png', 'assets/data/raw/slm-2024-07-11-11-30-31-image-0.png', 'assets/data/raw/slm-2024-07-11-11-30-31-image-1.png']	0
sob-2024-07-11-11-51-18	['assets/data/raw/sob-2024-07-11-11-51-18-image-1.png', 'assets/data/raw/sob-2024-07-11-11-51-18-image-0.png', 'assets/data/raw/sob-2024-07-11-11-51-18-image-2.png']	0
sob-2024-07-12-13-31-48	['assets/data/raw/sob-2024-07-12-13-31-48-image-1.png', 'assets/data/raw/sob-2024-07-12-13-31-48-image-0.png', 'assets/data/raw/sob-2024-07-12-13-31-48-image-2.png']	0
sob-2024-07-12-11-21-28	['assets/data/raw/sob-2024-07-12-11-21-28-image-0.png', 'assets/data/raw/sob-2024-07-12-11-21-28-image-1.png', 'assets/data/raw/sob-2024-07-12-11-21-28-image-2.png']	0
nlm-2024-07-11-16-23-51	['assets/data/raw/nlm-2024-07-11-16-23-51-image-2.png', 'assets/data/raw/nlm-2024-07-11-16-23-51-image-0.png', 'assets/data/raw/nlm-2024-07-11-16-23-51-image-1.png']	0
slm-2024-07-12-12-28-20	['assets/data/raw/slm-2024-07-12-12-28-20-image-2.png', 'assets/data/raw/slm-2024-07-12-12-28-20-image-0.png', 'assets/data/raw/slm-2024-07-12-12-28-20-image-1.png']	1
slm-2024-07-11-16-23-51	['assets/data/raw/slm-2024-07-11-16-23-51-image-0.png', 'assets/data/raw/slm-2024-07-11-16-23-51-image-1.png', 'assets/data/raw/slm-2024-07-11-16-23-51-image-2.png']	1
nob-2024-07-12-13-31-48	['assets/data/raw/nob-2024-07-12-13-31-48-image-2.png', 'assets/data/raw/nob-2024-07-12-13-31-48-image-1.png', 'assets/data/raw/nob-2024-07-12-13-31-48-image-0.png']	0
